query,target,Similarity
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,0.3982589771490751
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,0.3982589771490751
CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,NC(=O)[C@H](NC(=O)c1ccc[nH]c1=O)c1ccccc1,0.39737582005623245
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,CNC(=O)C(=O)Nc1c(C(N)=O)oc2ccccc12,0.3970507919169853
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,CNC(=O)C(=O)Nc1c(C(N)=O)oc2ccccc12,0.3970507919169853
CC(C)C[C@H](NC(=O)CC1CCNCC1)C(N)=O,O=C1CC[C@H](C(=O)NCCOc2ccc(F)cc2)N1,0.39622641509433965
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,0.3961038961038961
O=C(NCCc1nc(Cc2ccccc2)no1)[C@H]1C=CCN1,CCc1noc(CCNC(=O)Cc2cc(C)no2)n1,0.3951715374841169
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,CCCNC(=O)C(=O)NCCc1ccc(OC)c(OC)c1,0.39477977161500816
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,NC(=O)c1nc(-c2ccccc2)oc1S(N)(=O)=O,0.3942671714440238
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,NC(=O)c1nc(-c2ccccc2)oc1S(N)(=O)=O,0.3942671714440238
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,0.3929554210236654
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,0.3929554210236654
CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](N)[C@H]1N,O=C(Cc1cccc(Cl)c1)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0.39278752436647174
CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,COC(=O)CNC(=O)c1coc2ccccc2c1=O,0.39224526600541026
CC(C)C[C@@H](C)N(C)C(=O)C[C@@H]1NC(=O)NC1=O,CC(C)C[C@H](NC(=O)CC1CCNCC1)C(N)=O,0.39139344262295084
Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,COC(=O)CC(=O)Nc1ccccc1C(=O)N(C)C,0.38855054811205847
O=C(NCCc1nc(O)n[nH]1)c1ccnc(C2CC2)c1,O=C(NC[C@@H]1CCCO1)c1ccnc(C(=O)O)c1,0.3883495145631068
O=C1CC[C@H](C(=O)NCCc2ccc3c(c2)OCO3)N1,C[S@@](=O)CCNC(=O)NCc1ccc2c(c1)OCO2,0.3870056497175141
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C(N[C@H]1COCC[C@@H]1O)c1cc(=O)c2ccccc2o1,0.38670360110803326
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C(N[C@H]1COCC[C@@H]1O)c1cc(=O)c2ccccc2o1,0.38670360110803326
CNC(=O)C(=O)Nc1c(C(N)=O)oc2ccccc12,O=C(N[C@H]1COCC[C@@H]1O)c1cc(=O)c2ccccc2o1,0.38634471273938387
